Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126561-82889,D,Joey,Joey Logano,Logano,51.5,1,14000,,,,,,,,,Driver
126561-82858,D,Ryan,Ryan Blaney,Blaney,64.5,1,13500,,,,,,,,,Driver
126561-82864,D,William,William Byron,Byron,61.400001525878906,1,13000,,,,,,,,,Driver
126561-146657,D,Austin,Austin Cindric,Cindric,40.5,1,12500,,,,,,,,,Driver
126561-82872,D,Chase,Chase Elliott,Elliott,41,1,12000,,,,,,,,,Driver
126561-82888,D,Kyle,Kyle Larson,Larson,44.20000076293945,1,11500,,,,,,,,,Driver
126561-82878,D,Denny,Denny Hamlin,Hamlin,56.5,1,11000,,,,,,,,,Driver
126561-82886,D,Brad,Brad Keselowski,Keselowski,47.53589806189904,39,10500,,,,,,,,,Driver
126561-82904,D,Bubba,Bubba Wallace,Wallace,29.899999618530273,1,10000,,,,,,,,,Driver
126561-82861,D,Chris,Chris Buescher,Buescher,53,1,9500,,,,,,,,,Driver
126561-118521,D,Christopher,Christopher Bell,Bell,44,1,9000,,,,,,,,,Driver
126561-102623,D,Tyler,Tyler Reddick,Reddick,33,1,8500,,,,,,,,,Driver
126561-82863,D,Kyle,Kyle Busch,Busch,39,1,8200,,,,,,,,,Driver
126561-146285,D,Chase,Chase Briscoe,Briscoe,57.5,1,8000,,,,,,,,,Driver
126561-101999,D,Ryan,Ryan Preece,Preece,76.0999984741211,1,7800,,,,,,,,,Driver
126561-82859,D,Alex,Alex Bowman,Bowman,57.5,1,7500,,,,,,,,,Driver
126561-82866,D,Ross,Ross Chastain,Chastain,52,1,7200,,,,,,,,,Driver
126561-187152,D,Carson,Carson Hocevar,Hocevar,46.29999923706055,1,7000,,,,,,,,,Driver
126561-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,15,1,6800,,,,,,,,,Driver
126561-222594,D,Connor,Connor Zilisch,Zilisch,43.5,1,6500,,,,,,,,,Driver
126561-150102,D,Josh,Josh Berry,Berry,53.5,1,6200,,,,,,,,,Driver
126561-174405,D,Ty,Ty Gibbs,Gibbs,42,1,6000,,,,,,,,,Driver
126561-82901,D,Daniel,Daniel Suarez,Suarez,65,1,5800,,,,,,,,,Driver
126561-164023,D,Todd,Todd Gilliland,Gilliland,19,1,5500,,,,,,,,,Driver
126561-82883,D,Erik,Erik Jones,Jones,15.5,1,5200,,,,,,,,,Driver
126561-82887,D,Corey,Corey LaJoie,LaJoie,12,1,5000,,,,,,,,,Driver
126561-82869,D,Austin,Austin Dillon,Dillon,58,1,5000,,,,,,,,,Driver
126561-82891,D,Michael,Michael McDowell,McDowell,16,1,4800,,,,,,,,,Driver
126561-200943,D,Corey,Corey Heim,Heim,50.4,5,4800,,,,,,,,,Driver
126561-82854,D,AJ,AJ Allmendinger,Allmendinger,12.5,1,4500,,,,,,,,,Driver
126561-82870,D,Ty,Ty Dillon,Dillon,14.5,1,4500,,,,,,,,,Driver
126561-188888,D,Shane,Shane van Gisbergen,van Gisbergen,41,1,4200,,,,,,,,,Driver
126561-82867,D,Cole,Cole Custer,Custer,16.5,1,4200,,,,,,,,,Driver
126561-170604,D,Zane,Zane Smith,Smith,13.5,1,4000,,,,,,,,,Driver
126561-135092,D,Justin,Justin Allgaier,Allgaier,49.54999923706055,2,4000,,,,,,,,,Driver
126561-118091,D,John Hunter,John Hunter Nemechek,Nemechek,13,1,3800,,,,,,,,,Driver
126561-182931,D,Riley,Riley Herbst,Herbst,18.5,1,3800,,,,,,,,,Driver
126561-147038,D,Noah,Noah Gragson,Gragson,14,1,3800,,,,,,,,,Driver
126561-82882,D,Jimmie,Jimmie Johnson,Johnson,34.23333231608073,3,3500,,,,,,,,,Driver
126561-82905,D,Cody,Cody Ware,Ware,18,1,3500,,,,,,,,,Driver
126561-146284,D,Anthony,Anthony Alfredo,Alfredo,35.54999923706055,4,3500,,,,,,,,,Driver
126561-82892,D,B.J.,B.J. McLeod,McLeod,35.74285670689174,7,3000,,,,,,,,,Driver
126561-182686,D,Chandler,Chandler Smith,Smith,22.149999618530273,2,3000,,,,,,,,,Driver
126561-82908,D,J.J.,J.J. Yeley,Yeley,30.208333333333332,12,3000,,,,,,,,,Driver
