Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126704-82858,D,Ryan,Ryan Blaney,Blaney,46.133331298828125,3,14000,,,,,,,,,Driver
126704-82889,D,Joey,Joey Logano,Logano,54.56666564941406,3,13500,,,,,,,,,Driver
126704-82872,D,Chase,Chase Elliott,Elliott,49.866668701171875,3,13000,,,,,,,,,Driver
126704-146657,D,Austin,Austin Cindric,Cindric,31.26666768391927,3,12500,,,,,,,,,Driver
126704-82864,D,William,William Byron,Byron,47.79999796549479,3,12000,,,,,,,,,Driver
126704-82888,D,Kyle,Kyle Larson,Larson,43.29999796549479,3,11500,,,,,,,,,Driver
126704-82886,D,Brad,Brad Keselowski,Keselowski,52.150001525878906,2,11000,,,,,,,,,Driver
126704-118521,D,Christopher,Christopher Bell,Bell,33.666666666666664,3,10500,,,,,,,,,Driver
126704-82878,D,Denny,Denny Hamlin,Hamlin,38.36666615804037,3,10000,,,,,,,,,Driver
126704-82861,D,Chris,Chris Buescher,Buescher,46.333333333333336,3,9500,,,,,,,,,Driver
126704-82863,D,Kyle,Kyle Busch,Busch,33.56666564941406,3,9000,,,,,,,,,Driver
126704-102623,D,Tyler,Tyler Reddick,Reddick,49.23333231608073,3,8500,,,,,,,,,Driver
126704-146285,D,Chase,Chase Briscoe,Briscoe,29.8000005086263,3,8200,,,,,,,,,Driver
126704-187152,D,Carson,Carson Hocevar,Hocevar,45.166666666666664,3,8000,,,,,,,,,Driver
126704-82866,D,Ross,Ross Chastain,Chastain,42.46666717529297,3,7800,,,,,,,,,Driver
126704-82904,D,Bubba,Bubba Wallace,Wallace,43.06666564941406,3,7500,,,,,,,,,Driver
126704-82859,D,Alex,Alex Bowman,Bowman,31.866666158040363,3,7200,,,,,,,,,Driver
126704-101999,D,Ryan,Ryan Preece,Preece,49.23333231608073,3,7000,,,,,,,,,Driver
126704-174405,D,Ty,Ty Gibbs,Gibbs,38.166666666666664,3,6800,,,,,,,,,Driver
126704-222594,D,Connor,Connor Zilisch,Zilisch,33.53333282470703,3,6500,,,,,,,,,Driver
126704-82901,D,Daniel,Daniel Suarez,Suarez,53.6000010172526,3,6200,,,,,,,,,Driver
126704-150102,D,Josh,Josh Berry,Berry,50.866668701171875,3,6000,,,,,,,,,Driver
126704-82900,D,Ricky,Ricky Stenhouse Jr.,Stenhouse Jr.,42.79999796549479,3,5800,,,,,,,,,Driver
126704-82891,D,Michael,Michael McDowell,McDowell,32.1000010172526,3,5500,,,,,,,,,Driver
126704-170604,D,Zane,Zane Smith,Smith,37.300000508626304,3,5200,,,,,,,,,Driver
126704-82869,D,Austin,Austin Dillon,Dillon,35.76666768391927,3,5000,,,,,,,,,Driver
126704-82883,D,Erik,Erik Jones,Jones,31.166666666666668,3,4800,,,,,,,,,Driver
126704-164023,D,Todd,Todd Gilliland,Gilliland,21.96666717529297,3,4500,,,,,,,,,Driver
126704-118091,D,John Hunter,John Hunter Nemechek,Nemechek,28.96666717529297,3,4200,,,,,,,,,Driver
126704-188888,D,Shane,Shane van Gisbergen,van Gisbergen,37.166666666666664,3,4000,,,,,,,,,Driver
126704-147038,D,Noah,Noah Gragson,Gragson,37.26666768391927,3,3800,,,,,,,,,Driver
126704-82854,D,AJ,AJ Allmendinger,Allmendinger,29.433334350585938,3,3500,,,,,,,,,Driver
126704-82867,D,Cole,Cole Custer,Custer,30.1999994913737,3,3200,,,,,,,,,Driver
126704-182931,D,Riley,Riley Herbst,Herbst,38.86666615804037,3,3000,,,,,,,,,Driver
126704-82905,D,Cody,Cody Ware,Ware,33,3,2500,,,,,,,,,Driver
126704-82870,D,Ty,Ty Dillon,Dillon,34.699999491373696,3,2500,,,,,,,,,Driver
126704-82892,D,B.J.,B.J. McLeod,McLeod,14.699999809265137,2,2000,,,,,,,,,Driver
126704-82908,D,J.J.,J.J. Yeley,Yeley,24.350000381469727,2,2000,,,,,,,,,Driver
